id,comment,score
1,果真是事事不如人意，难过的让人心颤…[淚],0.8054
2,高，还好吗？,0.8008
3,可能亏损的那个表基本没什么意义，数据基本没参考价值。,0.1661
4,感谢大吧，那什么,0.6961
5,想为这样的小江承包整片郁金香海洋，和所有夜晚的“好好睡，晚安”,0.4706
6,可爱又真实的G,0.947
7,吒儿好棒！,0.8631
8,能不能积极一点 打打鸡血 进度每三小时发条微博 定个目标 别再低调了,0.769
9,我来了!,0.5262
10,沈阳有嘛 ,0.7188
11,Hi~您好，您发布的文章已被创建同名问题，文章内容被收录为回答。此问题将会吸引更多用户参与讨论，您的文章也会被更多网友看到，带来更高曝光和互动量~戳→→,0.9846
12,170414 恭贺今日《择天记》发布会圆满结束。作为人类非物质文化遗产的全球唯一入选陶瓷类项目龙泉青瓷中精心挑选了雷慧仙大师的手工瑰丽之作，同时敬献辛国正大师手工品茗杯、以及手工细雕檀木梳，以表心意。择天同行，感谢在鹿晗演艺道路上的合作与悉心指点，在此预祝电视剧《择天记》收视长虹！,1.0
13,"恭喜你的优质内容进入热门流电影频道曝光~持续沿着垂直领域方向创作，获取更多流量,详情见",0.9999
14,失败是因为有些能人被埋没了，应该让他们来拍。,0.1478
15,我总感觉鹿小晗不敢直视舒淇姐姐,0.7047
16,喜欢害羞的你,0.6769
17,真想陪他闯天下就把该做好的事做好。没有哪家搞集资是低调就能搞好的，已经数次尝试理解大吧了，可还是会为大吧的工作效率感到失望。鹿晗这张专辑销量有多重要大吧难道不明白吗？可为什么我看不到大吧的积极性？,0.0442
18,回复为图片,0.1911
19, 迟到的大连包场  但我们的热情永远不会迟到,0.9892
20,缺少一个铁血男主角,0.9543
21,最后那张是慈善会的时候吗？,0.7862
22, ,0.5262
23,表白鹿晗,0.3013
24,我爱江洋[淚][淚][淚],0.6552
25,啊啊啊啊啊期待江洋哥哥,0.998
26,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！！新年快乐,0.6911
27,堡总冲鸭,0.3485
28,大不了把那些片段放出来，我们粉丝自己剪啊啊啊啊,0.9883
29,微博可以转发（带签名）。合法,0.2812
30,太温柔,0.7124
31,为什么大吧对于新专辑好像一点都不重视的样子，不能对鹿晗的新专辑上心一点吗，别家要出新专辑了，官方后援会每天都积极让粉丝为新专辑努力，到了这里就是低调,0.9441
33,辛苦辛苦，天气原因延迟到今天，但是依然热情高涨[加油][加油][加油],0.9999
34,武汉保利星河九州粗暴对待业主！不仅虚假承诺还不让业主看样板间！,0.0307
35,这张 帅气姐弟,0.8342
36,图四的可爱 加油 加油 加油＾０＾~,0.9998
37,期待鹿晗,0.6423
38,鹿哥，杀青咯好好休息一下，期待热血街舞团！！,0.601
39,期待江洋*77777777777777777,0.6831
40,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！！,0.509
41,点赞多少个暑假我就请多少个人看鹿鹿的上海堡垒,0.965
43,转发微博,0.6439
44,天辽地宁，与鹿同行,0.1395
45,虽不是鹿晗的铁粉，但话还是要说的，上映前，他们俩一起去拍了“向往的生活”，说鹿晗怎么怎么好，剧本没出来就定了，就觉得他适合这部戏，期间还推杯换盏的，开心的飞起，感觉看到了票房大卖的样子，现在呢，最起码总结电影问题的时候不应该单独拎某个人出来，给世人传递意念。导演这点不好！,0.9983
46,帅哥美女真养眼,0.9984
47, 每一张都可爱,0.6874
48,期待《上海堡垒》 期待江洋,0.7641
49,谢谢你江洋，辛苦了鹿晗,0.8416
50,鹿鹿,0.4738
51,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！,0.8158
52,堡垒加油,0.8953
53,陪你闯天下,0.577
54,很喜欢很棒,0.9614
55,天辽地宁与鹿同行,0.1395
56,觉得不会投，因为个人觉得，这个导演太厉害了，不得不佩服，被向佐说,0.2504
58,呜哇！有一个帅哥哥,0.9973
59,啊啊啊啊啊啊啊堡宝,0.9681
60,新年快樂,0.8162
61,堡垒争气！堡垒冲鸭！,0.2382
62,怎么奇怪,0.3169
63,请问评论里说大吧不积极的都给了多少钱呢,0.0021
64,很棒很棒,0.9736
65,棒棒哒，加油！,0.8851
66,愿你往后走的每一步，都会被洒满玫瑰花瓣。,0.9709
67,其实我觉得还可以.....特效做的很好呀,0.7964
